date,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,00
03/25/88,43,43,43,43,43,42,42,42,42,44,46,45,47,47,50,52,52,52,50,50,50,50,50,49
03/26/88,46,46,45,43,42,41,40,40,40,40,39,39,40,43,44,44,45,41,40,39,38,37,37,37
03/27/88,38,37,35,35,35,36,37,39,38,39,42,45,46,48,48,48,48,48,46,44,42,41,40,37
03/28/88,37,37,36,36,35,34,36,39,42,45,47,49,49,48,49,44,43,41,39,39,38,37,37,37
03/29/88,38,39,39,41,40,40,40,42,43,44,47,49,49,49,50,49,47,47,46,45,43,44,43,42
03/30/88,41,41,41,40,38,39,41,42,43,47,48,50,53,53,53,53,52,50,50,49,48,48,46,46
03/31/88,45,45,45,45,44,44,45,46,47,49,51,53,54,56,57,58,58,56,54,51,51,51,47,47
04/01/88,46,45,45,44,45,44,44,45,45,46,49,52,53,53,53,52,50,49,48,47,47,47,47,47
04/02/88,46,47,46,46,46,47,48,48,49,50,50,50,50,49,49,49,49,50,49,48,47,46,45,45
04/03/88,44,44,0,44,42,42,41,41,43,45,46,46,42,48,48,48,46,47,47,44,41,39,39,39
04/04/88,39,38,39,39,39,39,38,38,41,43,45,48,49,47,49,49,48,48,46,44,42,42,41,41
04/05/88,40,40,40,40,40,39,40,40,42,44,46,48,48,49,50,50,50,51,50,50,50,50,51,51
04/06/88,50,50,50,50,50,48,47,46,46,46,47,47,47,49,51,51,48,48,47,44,43,42,41,39
04/07/88,38,37,37,37,37,37,38,40,42,45,47,48,49,47,49,47,44,44,44,42,42,41,40,39
04/08/88,40,41,41,40,40,40,40,40,41,42,44,47,47,49,52,53,53,53,51,47,44,46,43,41
04/09/88,41,40,41,40,37,39,39,41,46,50,55,60,64,65,67,67,67,64,61,55,54,54,55,52
04/10/88,54,51,49,48,46,44,43,50,55,57,60,63,68,68,72,73,72,71,66,62,58,57,56,54
04/11/88,51,51,50,48,47,45,44,47,50,54,56,59,60,62,63,63,63,60,57,54,51,51,50,50
04/12/88,48,47,46,45,43,44,45,48,52,57,61,64,64,68,70,72,70,69,69,63,58,56,56,55
04/13/88,51,54,50,50,49,50,49,50,50,50,52,52,56,55,55,57,57,56,56,54,53,52,52,51
04/14/88,50,50,50,49,48,48,49,50,51,51,50,51,52,53,56,56,56,57,55,52,52,50,50,51
04/15/88,51,50,50,50,50,50,49,50,50,52,53,55,57,60,62,63,63,61,60,60,60,60,59,58
04/16/88,56,55,54,53,51,51,50,50,50,50,49,49,50,50,51,53,52,52,52,51,51,51,50,49
04/17/88,49,49,48,48,47,47,46,46,46,46,47,47,48,48,48,48,48,48,48,48,48,47,48,47
04/18/88,47,47,44,43,41,40,41,44,47,48,51,53,54,56,58,59,60,57,58,55,53,53,52,51
04/19/88,50,48,47,47,46,45,45,47,50,53,57,59,61,63,63,63,61,62,60,59,57,57,57,56
04/20/88,54,56,55,53,52,50,50,52,54,56,61,62,64,66,67,66,68,68,65,63,56,54,51,51
04/21/88,50,49,49,49,49,49,49,49,49,50,50,51,51,52,52,51,53,51,49,47,47,46,45,44
04/22/88,44,43,43,43,43,43,44,44,45,45,46,47,49,50,51,53,53,51,50,50,50,49,47,47
04/23/88,47,47,47,47,47,47,47,47,47,47,48,49,50,47,51,49,51,49,50,47,45,44,42,41
04/24/88,39,39,38,38,38,39,40,42,45,47,49,50,50,51,50,45,45,46,45,46,44,42,41,41
04/25/88,40,41,41,41,42,41,42,43,45,47,49,50,54,53,53,55,55,56,54,52,47,49,44,47
04/26/88,46,44,40,42,41,41,41,45,49,53,55,58,61,63,66,66,66,67,67,64,62,61,57,54
04/27/88,50,49,48,48,50,48,52,54,58,63,66,64,68,66,69,64,66,69,67,65,62,57,56,56
04/28/88,55,53,53,53,52,53,54,55,56,58,59,61,62,61,61,57,54,54,54,51,50,49,50,49
04/29/88,47,47,47,46,46,45,44,44,47,49,49,50,50,51,48,44,44,43,43,43,41,42,42,41
04/30/88,40,41,40,40,39,39,40,42,42,44,45,48,51,52,47,48,47,43,42,43,42,41,40,40
05/01/88,40,40,40,40,40,40,40,40,42,44,48,50,50,50,50,47,48,47,47,46,44,44,44,44
05/02/88,44,44,44,44,44,44,44,44,45,45,47,47,45,46,47,46,45,46,46,46,44,45,44,42
05/03/88,43,42,42,41,41,40,41,45,47,48,51,50,50,52,49,49,53,47,47,46,45,43,43,43
05/04/88,44,43,43,44,43,43,44,45,47,49,47,47,48,51,52,53,53,57,57,52,51,49,48,45
05/05/88,46,45,45,44,43,42,43,45,46,49,52,53,53,51,54,57,59,56,55,54,50,49,49,48
05/06/88,47,46,46,46,45,45,45,46,46,46,47,49,51,51,51,55,55,55,52,51,47,45,46,45
05/07/88,43,43,43,44,40,42,45,48,51,53,57,57,60,61,63,63,65,66,62,60,56,54,53,54
05/08/88,53,52,51,50,47,47,50,52,55,58,60,62,64,68,69,70,65,64,58,55,53,53,51,50
05/09/88,51,51,50,50,50,50,50,52,54,59,60,63,64,65,65,66,66,63,61,60,59,59,58,58
05/10/88,58,59,58,57,57,54,57,59,63,66,68,71,76,77,79,79,77,76,70,68,64,61,62,62
05/11/88,59,59,56,57,57,55,57,60,63,67,70,71,76,78,82,82,83,78,79,77,71,73,71,63
05/12/88,61,60,59,56,56,57,60,62,63,64,66,69,70,71,72,70,68,66,64,61,55,53,52,53
05/13/88,51,52,52,50,50,50,50,50,51,51,54,50,55,51,54,54,54,53,50,50,50,49,49,49
05/14/88,49,49,49,48,48,49,48,49,51,54,56,58,61,62,62,63,63,63,61,60,60,60,58,54
05/15/88,54,54,52,51,50,52,52,56,59,62,66,70,69,71,72,73,72,71,68,62,59,56,55,52
05/16/88,51,51,52,52,51,51,50,50,51,52,52,52,53,50,52,56,57,54,56,53,51,48,50,50
05/17/88,49,48,48,47,47,46,47,48,51,53,55,49,54,54,55,56,51,53,53,52,50,50,48,48
05/18/88,47,46,47,46,46,47,47,47,48,50,52,52,53,55,56,56,58,59,58,56,53,50,50,49
05/19/88,50,50,50,49,49,49,49,50,52,57,56,58,60,60,63,63,63,63,62,60,54,53,52,52
05/20/88,51,50,49,48,48,48,50,52,55,58,60,64,65,66,68,68,69,69,66,61,57,55,55,54
05/21/88,52,55,50,51,50,49,53,56,62,65,68,74,74,79,82,84,84,83,82,80,75,66,62,65
05/22/88,64,63,59,60,60,59,58,59,58,57,57,57,56,60,58,55,53,50,51,53,51,49,49,48
05/23/88,46,47,46,47,44,45,47,47,51,51,54,56,58,59,55,55,57,55,55,53,50,50,50,50
05/24/88,49,44,43,44,45,48,48,49,54,56,57,61,61,62,63,64,64,64,63,61,57,53,52,51
05/25/88,49,46,48,48,47,49,50,51,53,55,57,60,63,63,64,63,66,66,65,63,60,55,52,54
05/26/88,50,50,49,48,49,48,51,52,54,55,57,57,59,60,57,57,60,60,59,57,55,54,54,54
05/27/88,55,54,54,55,54,54,54,58,59,61,62,62,63,63,58,58,56,56,56,56,55,54,53,53
05/28/88,52,51,51,52,53,52,53,50,50,51,51,50,56,57,58,59,58,57,55,53,51,49,47,45
05/29/88,44,45,45,44,43,44,45,45,46,48,53,53,52,58,59,60,60,58,58,54,53,52,51,50
05/30/88,49,47,44,43,42,42,47,49,52,54,55,56,58,59,61,61,62,59,57,56,55,54,52,51
05/31/88,51,51,50,51,50,50,50,51,51,51,54,54,54,55,57,58,57,57,59,56,53,53,53,51
06/01/88,50,49,49,49,48,47,47,47,48,49,53,54,51,49,51,55,57,58,58,56,52,50,51,49
06/02/88,49,48,49,49,47,48,50,54,56,58,56,57,58,60,64,59,57,54,54,54,53,51,50,49
06/03/88,48,48,46,49,48,48,50,50,51,55,56,59,60,61,63,64,64,63,64,62,54,54,52,53
06/04/88,53,52,50,52,51,50,49,49,49,49,51,51,55,58,59,57,59,59,51,55,50,51,51,50
06/05/88,49,50,49,49,48,48,48,49,49,52,54,55,58,51,51,60,60,59,59,57,54,53,50,50
06/06/88,51,50,49,49,48,48,48,48,49,50,53,55,59,61,61,63,63,60,60,60,58,57,54,52
06/07/88,54,50,52,52,52,52,53,54,56,54,56,53,51,55,55,54,56,56,55,54,52,50,51,51
06/08/88,51,58,58,46,45,44,48,50,52,57,58,60,62,64,64,65,63,65,63,61,60,58,56,51
06/09/88,53,52,51,50,48,49,52,55,59,59,61,62,61,61,62,60,58,55,54,54,53,53,52,52
06/10/88,52,52,52,51,51,51,51,52,53,53,54,54,56,59,63,64,64,64,61,59,55,54,53,53
06/11/88,52,51,51,51,50,49,52,56,56,58,59,63,64,63,65,66,66,65,64,60,56,54,53,54
06/12/88,53,52,51,49,50,48,51,55,59,60,61,63,65,68,68,70,70,70,69,67,62,57,60,58
06/13/88,57,53,51,52,51,50,55,58,61,63,66,68,71,73,75,76,76,76,74,71,67,63,60,60
06/14/88,62,61,60,58,57,57,60,63,68,71,73,77,76,81,83,84,85,86,84,82,73,69,68,64
06/15/88,68,60,59,56,54,54,57,59,67,64,65,67,69,72,74,75,77,75,74,74,69,67,64,60
06/16/88,58,56,54,52,52,54,55,56,55,55,58,57,57,58,61,63,64,64,65,63,62,59,56,55
06/17/88,53,52,52,51,50,52,53,54,54,55,57,60,64,65,65,64,63,61,60,59,59,58,58,56
06/18/88,56,56,56,57,56,56,57,58,58,59,63,65,67,68,69,69,69,68,67,65,62,60,58,57
06/19/88,56,55,54,53,52,52,54,57,60,62,64,67,68,70,71,71,72,72,71,66,59,56,57,57
06/20/88,56,54,54,53,53,53,53,56,57,61,62,65,67,70,72,72,71,73,71,68,65,62,60,58
06/21/88,59,59,56,55,55,57,59,61,62,66,69,72,76,77,79,79,80,76,74,73,69,68,68,66
06/22/88,65,64,63,62,61,59,59,59,60,62,63,64,65,66,65,65,69,67,67,63,60,59,57,57
06/23/88,56,56,55,54,54,53,54,54,56,56,57,58,61,62,63,64,65,63,65,62,57,56,55,54
06/24/88,54,54,54,54,53,52,54,56,59,62,64,67,68,70,73,74,76,74,73,70,66,64,65,60
06/25/88,63,58,55,59,56,56,59,62,66,67,70,69,71,71,70,72,70,71,70,66,62,59,57,55
06/26/88,56,55,54,54,55,56,56,57,58,58,58,60,61,62,66,65,65,64,63,62,58,55,54,55
06/27/88,54,54,54,53,52,53,53,54,57,57,58,59,62,64,63,64,64,63,61,61,58,54,52,52
06/28/88,54,53,51,50,50,50,51,52,53,56,58,61,60,62,63,60,58,58,57,57,56,54,53,52
06/29/88,51,51,51,51,50,49,50,53,56,59,62,64,63,68,69,69,66,66,67,63,60,57,53,52
06/30/88,54,54,53,51,51,51,51,53,57,58,61,64,67,70,68,70,68,68,67,66,64,63,62,61
07/01/88,60,58,56,56,55,53,54,56,55,56,57,58,61,64,63,62,61,63,62,61,60,59,59,58
07/02/88,58,58,58,58,58,59,58,58,58,60,61,62,64,67,69,69,69,68,66,63,58,57,56,56
07/03/88,55,54,54,54,53,52,52,54,57,59,57,60,59,62,62,61,66,63,61,60,58,58,58,55
07/04/88,53,52,52,52,52,51,51,53,55,56,60,59,62,63,65,65,64,64,62,60,57,55,56,55
07/05/88,54,53,52,52,53,52,52,53,52,53,57,61,62,64,61,63,61,58,57,54,53,52,51,52
07/06/88,51,51,52,52,53,53,53,54,55,55,59,62,61,65,65,65,65,68,66,65,61,57,54,54
07/07/88,53,52,51,51,50,50,52,55,58,62,66,69,72,73,74,75,76,74,72,69,65,61,61,61
07/08/88,61,58,58,58,57,52,59,63,64,69,71,73,77,78,81,82,83,82,82,78,70,64,68,65
07/09/88,60,57,55,52,52,52,54,57,59,63,65,68,72,74,77,77,78,78,76,74,70,67,65,61
07/10/88,57,56,54,53,56,55,55,55,56,56,57,60,61,62,67,68,71,71,72,67,62,58,56,56
07/11/88,56,56,56,55,55,55,55,56,56,58,56,59,61,62,63,65,64,61,60,59,58,57,57,56
07/12/88,56,55,55,54,55,54,54,55,56,60,58,60,62,62,60,59,62,58,58,58,58,58,58,58
07/13/88,57,57,56,55,55,55,55,56,58,60,61,63,62,65,65,65,66,65,64,64,58,57,54,55
07/14/88,54,55,55,55,54,52,55,56,59,59,62,66,68,70,70,71,72,71,71,69,62,58,56,58
07/15/88,58,56,57,57,57,56,56,59,61,63,66,68,70,71,74,74,74,73,72,69,63,61,61,57
07/16/88,59,57,56,55,53,54,57,60,64,67,67,70,72,73,75,74,76,75,74,70,65,65,63,61
07/17/88,59,57,59,59,58,57,59,61,63,66,69,69,73,74,74,78,77,76,74,71,66,62,65,63
07/18/88,61,60,59,59,57,58,59,62,64,69,72,75,77,78,78,80,82,81,80,76,71,69,71,70
07/19/88,69,69,65,63,62,60,65,71,74,78,84,86,89,92,93,94,94,93,91,88,85,83,81,74
07/20/88,76,72,67,66,66,63,67,75,74,81,81,85,87,89,91,93,95,93,89,85,80,75,72,64
07/21/88,59,58,57,55,55,53,57,60,60,64,67,69,74,75,79,81,80,81,79,75,72,67,65,62
07/22/88,61,59,58,58,57,56,58,59,63,63,65,68,70,70,72,73,75,73,73,69,65,65,64,62
07/23/88,60,59,56,54,54,52,55,57,62,67,70,71,75,78,77,77,80,79,79,76,71,69,66,67
07/24/88,65,64,62,62,56,58,59,65,69,72,75,77,79,80,84,85,85,84,83,77,73,73,72,69
07/25/88,69,67,65,64,63,59,64,68,71,75,78,83,87,90,92,93,94,93,91,87,80,76,75,73
07/26/88,72,73,70,67,70,66,71,73,76,79,81,83,87,88,92,92,88,85,84,81,78,74,71,68
07/27/88,65,61,59,56,55,54,58,60,63,65,67,69,70,72,73,75,76,76,74,71,63,61,60,55
07/28/88,54,53,53,51,51,51,52,55,57,62,65,67,70,73,74,76,77,77,77,73,68,64,65,64
07/29/88,63,62,62,59,60,58,61,63,65,67,70,73,74,76,78,80,79,79,78,74,67,67,64,63
07/30/88,61,60,58,57,58,57,60,63,65,68,70,73,76,77,79,80,80,79,78,73,68,66,64,63
07/31/88,63,62,57,55,53,52,54,55,57,58,59,60,63,63,64,69,70,69,69,65,62,60,57,56
08/01/88,55,55,55,55,55,55,55,56,57,59,62,64,64,70,71,72,73,74,72,69,67,63,65,64
08/02/88,58,59,60,55,51,53,56,59,63,67,71,73,77,78,81,82,82,82,80,77,77,68,68,67
08/03/88,70,65,64,60,58,59,61,65,69,75,78,79,84,86,88,89,90,88,87,83,77,78,75,73
08/04/88,73,71,65,63,62,61,63,68,73,75,76,80,83,84,88,88,89,87,84,79,74,72,68,66
08/05/88,66,65,60,60,57,54,56,56,56,58,58,58,60,67,69,70,69,67,68,64,59,56,56,56
08/06/88,55,54,54,54,54,54,54,55,57,59,63,64,65,66,67,65,66,66,65,64,63,61,58,54
08/07/88,57,56,54,55,54,53,56,57,59,64,62,65,70,71,74,74,74,74,73,69,64,62,59,60
08/08/88,57,57,57,56,55,55,55,57,61,64,67,70,73,75,76,78,79,79,76,73,68,65,65,64
08/09/88,63,60,61,60,59,56,59,59,59,60,61,62,63,66,66,70,72,69,70,68,63,62,60,63
08/10/88,60,59,59,59,58,58,59,60,62,63,67,70,72,73,74,76,77,76,74,70,66,63,64,64
08/11/88,60,57,58,55,52,51,53,54,53,55,58,62,65,70,71,73,73,72,70,67,63,60,58,57
08/12/88,56,56,56,55,55,55,55,56,57,58,60,63,64,69,70,71,73,72,71,68,64,60,58,58
08/13/88,57,58,58,57,57,57,56,57,58,60,60,64,65,66,67,69,69,70,67,64,62,59,58,56
08/14/88,57,56,55,55,55,54,52,55,56,58,61,66,66,69,70,71,70,71,69,65,60,58,57,59
08/15/88,54,56,57,57,56,55,54,55,56,58,59,62,63,64,62,59,62,61,61,60,58,58,58,57
08/16/88,57,57,57,57,57,58,58,58,60,61,62,64,60,64,64,63,62,62,61,61,60,58,59,59
08/17/88,57,57,57,56,55,54,53,56,59,62,64,67,68,70,68,68,66,63,63,62,61,58,56,57
08/18/88,58,57,57,57,56,56,56,56,57,61,64,68,69,70,72,72,73,72,70,67,63,63,63,57
08/19/88,59,59,58,53,54,54,54,56,58,62,65,67,67,70,71,70,73,69,66,65,62,61,60,58
08/20/88,57,53,54,51,52,50,52,54,55,56,57,60,61,62,64,64,66,66,66,63,59,57,56,56
08/21/88,55,56,56,51,55,54,54,57,60,63,67,69,72,74,75,76,76,75,73,68,64,62,63,62
08/22/88,61,60,59,58,57,56,57,59,63,66,70,75,77,79,82,81,82,81,79,74,69,70,67,66
08/23/88,65,65,63,63,61,61,62,66,70,74,78,81,84,87,89,89,89,87,83,77,72,73,72,72
08/24/88,71,67,58,60,57,55,54,58,61,61,61,68,70,76,77,77,78,77,73,68,66,63,60,58
08/25/88,57,55,53,55,55,55,55,58,59,61,63,66,69,71,72,75,74,72,72,67,64,65,63,62
08/26/88,60,57,59,58,54,57,54,59,63,63,65,69,72,75,73,75,77,76,72,69,67,63,62,62
08/27/88,61,60,59,56,57,57,57,60,63,67,71,73,76,79,81,83,83,80,78,73,69,67,68,68
08/28/88,67,63,64,61,61,63,58,63,68,72,76,78,80,82,86,89,88,86,82,76,73,73,65,63
08/29/88,62,63,60,58,59,59,59,60,60,59,60,62,65,66,68,68,68,69,66,64,63,63,61,61
08/30/88,59,59,55,57,56,57,57,57,61,63,64,67,69,70,71,71,72,71,68,63,61,59,61,59
08/31/88,57,57,57,56,56,51,53,57,61,65,68,71,73,76,76,77,76,75,72,68,65,66,65,63
09/01/88,58,61,61,60,58,57,56,61,65,70,74,77,80,83,84,85,85,83,80,73,70,71,71,70
09/02/88,68,65,65,65,61,62,61,66,71,75,80,85,88,93,95,98,98,97,92,82,76,75,74,70
09/03/88,72,69,66,61,59,59,62,64,70,71,75,79,83,85,89,92,91,86,82,76,73,69,64,61
09/04/88,59,57,56,54,54,55,54,54,55,56,59,60,65,70,73,78,75,75,73,69,64,60,59,58
09/05/88,56,56,57,56,55,55,55,55,55,56,56,58,58,60,59,59,59,58,58,57,57,58,59,59
09/06/88,58,57,57,56,55,55,54,55,56,57,61,62,65,67,66,67,65,66,62,59,58,59,57,58
09/07/88,58,57,58,57,56,55,55,56,58,62,63,68,69,71,73,73,72,71,69,62,65,63,58,56
09/08/88,55,56,54,54,53,53,51,54,57,60,65,66,70,71,74,75,75,73,65,62,60,59,58,57
09/09/88,57,57,57,56,56,54,51,54,56,58,60,62,66,67,68,68,65,68,64,56,56,53,52,51
09/10/88,48,48,50,49,48,48,47,48,52,54,56,60,63,63,67,67,68,65,63,57,58,55,54,55
09/11/88,53,52,48,49,49,47,48,52,56,59,63,67,69,71,72,73,73,71,68,63,60,60,60,61
09/12/88,60,58,57,54,52,50,52,56,60,64,68,72,76,77,78,80,80,76,73,68,66,66,65,62
09/13/88,60,62,59,59,58,56,57,58,62,66,72,73,78,79,81,83,83,81,76,72,71,68,67,61
09/14/88,61,62,63,60,57,54,57,59,64,67,70,73,76,78,80,81,80,79,72,65,61,58,55,52
09/15/88,51,51,52,52,52,53,54,55,56,57,58,59,59,60,60,60,60,59,58,55,55,55,55,55
09/16/88,55,52,51,50,50,50,50,50,51,53,54,57,60,63,63,64,63,61,59,56,54,54,53,52
09/17/88,49,48,48,48,48,49,49,48,51,53,56,58,57,61,61,63,66,59,57,58,57,54,50,50
09/18/88,48,48,46,45,45,44,44,47,48,51,54,55,55,58,58,59,57,56,53,52,51,52,50,50
09/19/88,50,52,52,53,53,53,53,53,54,55,56,58,60,63,64,57,61,58,58,57,56,56,55,55
09/20/88,54,54,54,53,52,52,51,53,54,57,59,59,62,65,66,66,65,64,60,58,55,57,57,53
09/21/88,51,51,50,49,49,48,47,49,52,56,56,59,61,64,66,66,66,65,60,56,57,53,52,51
09/22/88,50,50,49,44,46,46,48,48,48,49,50,52,53,58,58,60,59,60,57,53,51,51,51,50
09/23/88,49,49,50,51,52,53,54,54,52,53,54,58,61,61,62,63,62,60,57,55,55,54,52,50
09/24/88,49,49,49,45,44,45,46,47,49,49,51,52,52,50,50,49,50,50,50,50,50,49,50,50
09/25/88,50,51,55,54,56,56,56,56,56,56,56,57,59,57,58,58,59,58,55,54,55,54,54,52
09/26/88,53,54,54,54,54,54,53,54,55,57,58,60,61,58,56,58,58,56,55,55,55,55,55,54
09/27/88,54,54,54,54,53,52,51,52,53,56,59,61,64,63,60,64,63,61,58,56,54,53,53,53
09/28/88,53,52,52,52,52,51,51,52,53,56,62,66,67,69,69,70,70,68,64,64,65,63,59,56
09/29/88,53,52,50,51,48,48,49,51,56,59,62,66,70,73,75,74,74,71,65,62,60,63,63,62
09/30/88,61,60,59,58,55,55,54,56,58,61,65,69,70,72,73,74,72,71,67,65,63,61,60,59
10/01/88,58,57,57,56,55,54,54,55,58,60,64,69,72,76,77,78,78,75,68,64,61,60,59,57
10/02/88,56,53,56,57,58,55,56,53,56,60,62,65,67,67,71,70,69,66,63,60,57,54,53,53
10/03/88,52,52,52,52,53,54,55,55,55,55,56,57,57,58,57,57,57,56,56,56,56,56,56,55
10/04/88,55,55,55,55,55,55,55,54,54,55,56,58,59,61,63,66,65,64,63,62,61,60,58,58
10/05/88,57,57,57,57,57,57,56,56,57,58,59,59,60,60,61,62,63,62,61,58,56,54,52,53
10/06/88,55,55,55,55,55,55,55,55,56,57,58,61,61,62,63,62,62,61,59,59,58,59,58,58
10/07/88,57,57,57,55,53,53,53,53,54,54,55,56,55,56,57,57,58,57,56,56,56,55,55,55
10/08/88,54,54,54,53,54,54,54,54,54,55,56,56,58,57,58,58,57,56,55,55,55,54,54,54
10/09/88,54,54,54,54,54,54,54,53,53,54,56,57,61,62,65,66,64,63,59,56,55,55,55,55
10/10/88,53,52,51,48,50,50,50,50,51,52,55,62,67,70,73,73,71,67,63,61,58,54,54,54
10/11/88,55,55,54,55,55,55,56,56,56,57,57,58,60,60,60,59,59,59,58,58,58,57,57,57
10/12/88,56,56,55,55,55,55,54,54,56,57,58,59,60,60,59,59,59,57,56,56,55,54,57,57
10/13/88,57,57,55,55,55,56,55,57,56,57,59,59,59,59,60,60,60,59,58,57,57,57,56,56
10/14/88,56,56,56,56,56,57,56,55,55,56,58,58,57,56,57,57,56,56,56,56,56,56,57,57
10/15/88,57,57,57,57,57,58,57,57,58,58,58,59,60,61,60,60,60,58,57,57,58,59,59,58
10/16/88,58,58,58,57,58,58,58,54,53,53,52,52,52,52,52,52,52,52,53,53,53,52,52,51
10/17/88,50,49,48,48,47,47,45,46,47,48,49,51,54,56,57,57,56,52,47,50,48,49,46,46
10/18/88,47,48,47,48,47,47,48,48,47,48,49,49,51,51,51,51,51,51,51,51,51,51,51,53
10/19/88,53,53,53,53,54,53,54,54,55,56,58,59,60,64,65,63,62,61,58,57,56,56,56,55
10/20/88,52,54,55,55,55,54,56,56,57,57,61,62,64,63,64,63,62,56,54,54,54,54,54,53
10/21/88,53,53,53,53,53,53,53,53,53,53,55,56,57,57,59,56,56,56,55,55,54,54,54,53
10/22/88,53,53,52,51,49,50,51,50,50,52,53,55,58,55,57,57,56,54,51,50,48,50,49,44
10/23/88,46,45,44,44,43,43,43,43,46,49,51,55,58,59,59,60,59,56,52,52,50,53,52,50
10/24/88,49,49,50,50,51,50,51,51,52,56,57,59,59,58,58,60,57,56,53,52,50,50,48,46
10/25/88,48,48,49,50,50,50,48,48,49,49,50,50,50,51,52,54,54,51,49,49,50,50,50,49
10/26/88,50,50,50,50,50,50,50,50,50,51,51,51,51,53,53,54,53,48,45,48,47,47,45,44
10/27/88,43,41,42,40,39,39,40,39,40,43,47,51,51,51,52,52,51,49,46,45,45,45,44,43
10/28/88,42,42,41,40,38,39,37,37,38,39,44,48,54,54,55,56,55,51,45,47,47,46,46,46
10/29/88,45,45,46,47,47,46,46,46,48,50,55,58,58,58,58,58,57,55,56,55,54,54,52,52
10/30/88,51,51,49,50,50,52,52,52,53,54,55,55,56,57,58,58,57,57,57,57,57,57,54,54
10/31/88,56,55,52,51,49,51,50,51,51,54,60,64,64,64,63,61,57,54,53,53,53,53,53,54
11/01/88,55,54,53,53,52,52,52,53,55,57,56,56,57,58,58,55,54,53,50,49,51,51,50,49
11/02/88,50,49,50,50,49,49,50,49,49,49,51,52,53,54,55,55,54,55,54,54,54,51,50,52
11/03/88,52,52,51,51,50,50,58,49,52,53,54,49,51,50,50,49,49,48,48,48,47,47,47,46
11/04/88,47,46,47,47,49,49,47,48,49,52,53,53,54,55,54,54,53,53,53,53,52,51,51,50
11/05/88,50,51,50,50,50,50,51,51,53,56,59,61,58,58,56,56,53,52,51,51,50,50,49,50
